Objective_ID,Objective_Title,LOE_ID,LOE_Title,IMO_ID,IMO_Title,OAI_ID,OAI_Title,OAI_Description,Land,Sea,Air,Cyber,Space,Duration_Months,Start_Date,End_Date,Decision_Point_1_Label,Decision_Point_1_Date,Decision_Point_2_Label,Decision_Point_2_Date,Decisive_Point_1_Label,Decisive_Point_1_Date,Decisive_Point_2_Label,Decisive_Point_2_Date,Depends_On
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.1","Build a Unified, Persistent, Multinational Domain Awareness Architecture","3.1.1","Establish a Fused, Multinational COP","3.1.1","Hemispheric Fusion Centers","Establish physical and virtual Hemispheric Fusion Centers (HFCs) at WHEMCOM HQ, JIATF-S, and key partner locations to create a shared COP.","Stand up land-focused cells fusing HUMINT, border, and ground threat reporting.","Integrate JIATF-S, USCG, partner navies, and coastal radar into the fusion centers.","Fuse P-8, MQ-9, AEW, and partner air tracks into a common air picture.","Connect national and partner cyber threat feeds to the COP.","Integrate space-based ISR, commercial imagery, and satellite AIS/SAR feeds.",57,2026-04-01,2031-12-31,"Core Sites & Host Nations Selected",2026-12-31,"Multinational Manning & Access Confirmed",2027-12-31,"HFC IOC – Shared COP Online for Caribbean/Venezuela",2028-09-30,"HFC FOC – COP Used Routinely for Targeting & DSCA",2030-12-31,"1.1.1,1.1.3,1.2.2"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.1","Build a Unified, Persistent, Multinational Domain Awareness Architecture","3.1.1","Establish a Fused, Multinational COP","3.1.2","Data Standards & Sharing Protocols","Develop common data formats, interfaces, and sharing protocols (“PARD-X”) for all partners feeding and using the COP.","Standardize land threat and incident reporting formats.","Standardize maritime track, boarding, and interdiction data formats.","Standardize air track, flight plan, and intercept data feeds.","Define cyber IOC formats, STIX/TAXII or equivalent for partners.","Define metadata and formats for space/commercial imagery ingestion.",33,2026-03-01,2028-12-31,"Baseline Data & Systems Survey Complete",2026-11-30,"Partner Agreement on Minimum Common Standard",2027-09-30,"First Multinational PARD-X-Compliant COP Segment Operational",2028-06-30,"PARD-X Adopted by All Core Partners",2028-12-31,"1.1.3,1.1.5,1.1.2"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.1","Build a Unified, Persistent, Multinational Domain Awareness Architecture","3.1.2","Integrate Unmanned Systems Across the Hemisphere","3.1.3","Long-Range Unmanned ISR Fielding","Procure and field long-range unmanned ISR systems (e.g., MQ-9, Triton, partner UAS) oriented on key hemispheric approaches and Venezuelan arcs.","Establish land-based launch, recovery, and maintenance hubs.","Deploy maritime-focused UAS or cue naval assets via UAS tracks.","Align airspace coordination and deconfliction for persistent UAS orbits.","Link UAS sensors and metadata into cyber-secure networks.","Task space-based sensors to complement UAS coverage and handoff.",54,2026-07-01,2031-12-31,"Priority Coverage Arcs & Partners Identified",2027-03-31,"Initial UAS Packages Fielded to WHEMCOM/Partners",2028-03-31,"Persistent UAS Coverage of Key Maritime/Border Corridors",2029-06-30,"Integrated UAS/Space/Maritime MDA Achieved",2031-06-30,"3.1.1,3.1.2,1.2.2"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.1","Build a Unified, Persistent, Multinational Domain Awareness Architecture","3.1.2","Integrate Unmanned Systems Across the Hemisphere","3.1.4","Multinational Unmanned Task Force (CTF-UAS)","Establish a Combined Task Force for unmanned systems (CTF-UAS) to coordinate multinational UAS employment, training, and TTP development.","Provide land-based staff, planners, and training lanes for UAS operations.","Coordinate maritime UAS patrol lanes and handoffs with partner navies.","Synchronize airspace use, deconfliction, and air tasking for UAS.","Integrate cyber defense and C2 for UAS networks.","Coordinate cross-cueing between UAS and space-based sensors.",48,2027-01-01,2030-12-31,"Core Partner Contributions Confirmed",2027-09-30,"Shared UAS CONOPS & ROE Approved",2028-06-30,"First Fully Multinational CTF-UAS Patrol Executed",2028-12-31,"CTF-UAS Routinely Supports Targeting & Interdiction",2030-12-31,"3.1.3,1.1.8,1.1.10"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.1","Build a Unified, Persistent, Multinational Domain Awareness Architecture","3.1.3","Establish Real-Time Intelligence Sharing Protocols & Authorities","3.1.5","Real-Time Tear Lines & Sharing Authorities","Create standing tear lines, real-time sharing protocols, and authorities for detect-to-interdict intelligence dissemination to partners.","Define land and law-enforcement tear lines and caveats.","Define maritime tactical sharing procedures for interdiction forces.","Define air defense and air-policing sharing rules.","Define cyber threat intel flows and real-time sharing triggers.","Define rules for release of space/commercial imagery at various classifications.",39,2026-10-01,2029-12-31,"Legal & Policy Redlines Identified",2027-06-30,"Partner Agreement on Real-Time Sharing Thresholds",2028-06-30,"Real-Time Sharing Protocols Used in Live Interdictions",2029-03-31,"Protocols Hold Under Venezuela-Driven Crisis",2029-12-31,"1.1.5,1.1.4,3.1.1,3.1.2"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.2","Achieve Superior, Coordinated, Multinational Interdiction Effects","3.2.1","Integrated Targeting & Joint Interdiction Mechanisms","3.2.1","Joint Interdiction Coordination Board (JICB)","Establish a standing JICB with interagency and partner liaisons to synchronize interdiction priorities, targeting, and operations.","Provide land targeting, law-enforcement, and DSCA representation.","Coordinate maritime patrol patterns and boarding priorities.","Align air ISR and strike/intercept priorities.","Integrate cyber target development and deconfliction.","Include space/MDA and commercial imagery in targeting deliberations.",48,2027-01-01,2030-12-31,"Core Interagency & Partner Membership Confirmed",2027-09-30,"Common Targeting & Priority Framework Approved",2028-06-30,"JICB-Driven Interdiction Cycle Demonstrated",2029-03-31,"JICB Becomes Default Mechanism for All Major Interdiction Efforts",2030-06-30,"3.1.1,3.1.5,2.1.1,2.1.2,1.2.3"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.2","Achieve Superior, Coordinated, Multinational Interdiction Effects","3.2.1","Integrated Targeting & Joint Interdiction Mechanisms","3.2.2","Interdiction Playbooks & Wargaming","Develop and wargame multinational interdiction playbooks based on specific ISR triggers and legal/partner caveats.","Rehearse land arrests, seizures, and DSCA implications.","Rehearse maritime boardings, diversions, and escalation control.","Rehearse air intercept, diversion, and denial scenarios.","Rehearse cyber disruption of logistics, finance, and C2.","Incorporate space-based MDA and ISR triggers into playbooks.",27,2027-04-01,2029-06-30,"Initial Playbook Set Drafted",2027-12-31,"Playbooks Validated in Tabletop & CPX",2028-09-30,"Playbooks Employed in Live, Limited Interdictions",2029-06-30,"3.2.1,1.1.10,2.1.1"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.2","Achieve Superior, Coordinated, Multinational Interdiction Effects","3.2.2","Multinational Maritime & Air Interdiction Superiority","3.2.3","HEMISPHERE SPRINT Surge Interdictions","Conduct synchronized, multinational surge interdiction operations (“HEMISPHERE SPRINT”) based on COP/ISR triggers, focused on Venezuelan-linked flows.","Deploy land-based law-enforcement and partner units to exploit seizures.","Concentrate USCG/USN/partner ships and cutters along key arcs.","Surge MPA, ISR aircraft, and tanker support for sustained ops.","Execute planned cyber actions to disrupt network adaptation.","Use space AIS/SAR and imagery heavily to cue and evaluate surge effects.",36,2028-01-01,2030-12-31,"Partner Commitment to High-Tempo Surge Confirmed",2028-06-30,"First Limited Surge Operation Conducted",2029-03-31,"Full HEMISPHERE SPRINT Conducted with Multinational Participation",2029-12-31,"Surge Becomes Repeatable Tool with Predictable Strategic Effects",2030-12-31,"3.2.1,3.2.2,3.1.1,3.1.3,2.1.1,1.2.3"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.2","Achieve Superior, Coordinated, Multinational Interdiction Effects","3.2.3","Counter-Adaptation Against Venezuelan/State/TCO Evasion","3.2.4","Red Team & Threat Modeling Cell","Create a dedicated Red Team/analysis cell to anticipate and model Venezuelan/state/TCO adaptation to WHEMCOM activity.","Model land routes, staging, and overland evasion patterns.","Model maritime re-routing, vessel spoofing, and use of flags of convenience.","Model air route changes, use of small aircraft, and non-traditional airfields.","Model cyber workarounds, new crypto channels, and disinformation TTPs.","Model space-related deception (AIS spoofing, RF masking).",51,2026-10-01,2030-12-31,"Initial Adversary Adaptation Models Complete",2027-06-30,"Models Tested Against Real-World Behavior",2028-06-30,"Red Team Products Integrated into Targeting & Planning",2029-06-30,"Continuous Adaptation Cycle Established",2030-12-31,"2.1.1,2.2.7,3.1.1"
3,"Achieve Integrated Domain Awareness & Interdiction Superiority","3.2","Achieve Superior, Coordinated, Multinational Interdiction Effects","3.2.3","Counter-Adaptation Against Venezuelan/State/TCO Evasion","3.2.5","Rapid TTP Development & Dissemination Cell","Create a rapid TTP development cell within the JICB to turn lessons (successes/failures) into updated practices for all partners.","Feed land TTP changes to partner military/police forces.","Update maritime boarding/interdiction TTPs and share with navies/coast guards.","Update air intercept and DSCA support procedures.","Update cyber defense and offensive playbooks.","Update employment of space/COP for detection and interdiction.",45,2027-04-01,2031-12-31,"Initial Lessons-Learned Pipeline Established",2027-12-31,"Partners Adopting New TTPs in Exercises",2028-12-31,"TTP Cell Drives Noticeable Improvement in Interdiction Outcomes",2030-06-30,"Continuous Multinational TTP Refresh Institutionalized",2031-12-31,"3.2.1,3.2.4,3.2.2,3.2.3"
